 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2017    3  207  707.86  -40.50  -37.94   99.6    0.14    6.31   231.3    25.0     1.1    75.3    42.7    57.7    30.0 -999.000  133.5  162.1    2.042   75.6248777   35.9741879 2660.0  100
 2017    4  208  716.97  -35.66  -34.79   96.1    0.27    5.88   230.1    22.4     0.9   200.3   136.2   161.7   105.7    0.791  135.9  176.5    2.046   75.6249162   35.9740972 2660.4  100
 2017    5  209  728.42  -18.33  -18.87   90.1    1.08    5.88   237.9    15.5    -1.3   318.4   333.7   255.8   252.6    0.810  179.1  234.8    2.314   75.6249006   35.9742548 2662.1  100
 2017    6  210  726.27  -13.02  -13.58   91.1    1.64    4.49   239.1     1.6    -6.0   372.8   397.5   299.3   301.6    0.809  203.0  258.2    2.581   75.6248864   35.9744072 2662.8  100
 2017    7  211  726.37  -11.83  -13.04   92.9    1.89    4.66   236.9     5.3    -3.6   338.1   341.2   272.1   271.2    0.798  206.9  261.9    2.580   75.6249237   35.9743142 2662.1  100
 2017    8  212  725.38  -14.18  -15.60   96.2    1.64    5.04   261.3     9.7     1.2   197.3   197.3   165.4   163.9    0.828  222.5  252.2    2.511   75.6249589   35.9742176 2661.9  100
 2017    9  213  721.10  -21.77  -23.42   98.9    0.92    4.94   216.6    12.8     2.7    86.0    91.5    70.7    68.6 -999.000  206.8  224.0    2.430   75.6249946   35.9741152 2661.7  100
 2017   10  214  718.11  -27.18  -28.89   99.9    0.51    4.69   232.5     7.4     1.0    13.0    16.5    12.8    11.4 -999.000  200.9  206.2    2.327   75.6250301   35.9740167 2660.6  100
 2017   11  215  718.46  -37.33  -36.60  100.0    0.23    4.74   236.3     3.8     0.2    -0.2     0.2     0.3     0.1 -999.000  174.7  176.0    2.243   75.6250674   35.9739235 2659.7  100
 2017   12  216  712.88  -41.24  -38.09  100.0    0.17    4.58   242.3     1.8     0.1    -0.4     0.0     0.2     0.0 -999.000  165.0  165.4    2.205   75.6250989   35.9738270 2658.9  100
 2018    1  217  710.70  -42.84  -39.05  100.0 -999.00    5.03   231.5  -999.0  -999.0    -0.2     0.0     0.3     0.0 -999.000  160.7 -999.0    2.182   75.6251401   35.9737292 2659.7  100
 2018    2  218  708.07  -36.76  -36.48  100.0 -999.00    5.66   188.2  -999.0  -999.0     7.0     6.6     5.8     4.6 -999.000  173.3  178.9    2.143   75.6251705   35.9736418 2659.6  100
 2018    3  219  718.18  -38.26  -36.43   99.8    0.22    6.53   228.0    26.9     1.6    79.3    72.8    53.0    50.4 -999.000  144.8  169.1    2.090   75.6252117   35.9735234 2660.8  100
 2018    4  220  715.89  -32.80  -33.74   96.6    0.29    5.93   238.2    21.6     1.3   193.6   192.9   153.8   152.2    0.785  147.8  184.8    2.092   75.6252454   35.9734463 2659.6  100
 2018    5  221  712.97  -23.20  -24.41   93.1    0.71    4.62   230.8     8.1    -1.1   308.7   310.3   251.4   250.9    0.807  172.5  218.9    2.040   75.6252713   35.9733733 2661.2  100
 2018    6  222  722.27  -13.89  -14.88   91.4    1.57    4.04   271.0     1.2    -5.4   359.0   360.7   294.5   293.4    0.817  210.2  255.4    2.578   75.6251101   35.9737902 2662.5  100
 2018    7  223  722.71  -11.83  -12.93   92.4    1.86    4.06   254.5     3.2    -4.7   321.1   324.7   264.0   262.5    0.811  217.6  262.9    2.568   75.6251456   35.9736918 2662.3  100
 2018    8  224  723.96  -13.52  -14.89   94.7    1.81    4.07   265.6     5.2    -1.8   193.0   194.5   160.2   159.2    0.819  229.1  256.3    2.515   75.6251808   35.9735938 2661.6  100
 2018    9  225  720.01  -25.33  -26.86   98.7    0.69    4.30   251.8     8.5     1.0    84.2    85.4    78.5    70.3 -999.000  193.5  212.5    2.447   75.6252174   35.9734910 2661.1  100
 2018   10  226  712.80  -35.27  -35.34  100.0    0.28    4.42   253.4     7.5     0.6    16.5    15.6    15.4    13.0 -999.000  177.0  181.2    2.414   75.6252550   35.9734120 2659.5  100
 2018   11  227  719.05  -36.02  -35.23  100.0    0.28    6.32   233.7     6.8     0.7    -0.5     0.2     0.4     0.1 -999.000  175.9  180.0    2.361   75.6252920   35.9732833 2661.1  100
 2018   12  228  710.91  -42.00  -39.22  100.0    0.14    7.04   239.3     3.4     0.2    -0.4     0.0     0.2     0.0 -999.000  162.0  162.7    2.352   75.6253254   35.9731761 2661.9  100
 2019    1  229  710.64  -41.73  -38.55   99.7    0.16    6.38   238.6     1.1     0.1    -0.4     0.0     0.1     0.0 -999.000  158.5  164.4    2.346   75.6253601   35.9731068 2659.2  100
 2019    2  230  710.83  -42.34  -39.25  100.0    0.12    4.90   242.7     1.4     0.0     3.6     4.6     4.7     3.8 -999.000  161.5  161.9    2.319   75.6253961   35.9730210 2659.0  100
 2019    3  231  702.09  -44.41  -40.16   99.8    0.10    4.56   246.8     1.9     0.1    54.3    58.3    57.8    48.4 -999.000  157.0  156.4    2.217   75.6254385   35.9729160 2660.9  100
 2019    4  232 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
