type,expected_values,format,description,flags,notes
33,37,tffffffffffffffffffffffffgnefffffffff,Promice 2015 winter message (+ instant.),,Promice 2015-; there are 2 f less (wind variability; wind var. instantaneous)
34,6,tfffff,Promice 2015 diagnostic message,,Promice 2015-
35,53,tffffffffffffffffffffffffffffffffffffffffffffffffffff,Camp Century 2017 summer message,,Camp Century 2017-
36,0,,no summer message (+ instant.),,Camp Century 2017-
37,53,tffffffffffffffffffffffffffffffffffffffffffffffffffff,Camp Century 2017 summer message,,Camp Century 2017-
38,0,,,,Camp Century 2017-
40,14,tfffffffffffff,GlacioBasis+DMI 2018 summer message,,GlacioBasis+DMI 2018; there is 2 more than promice 2015 (T_IR; IR_T)
41,39,tffffffffffffffffffffffffffgnefffffffff,GlacioBasis+DMI 2018 summer message (+ instant.),,GlacioBasis+DMI 2018; there is 2 more than promice 2015 (T_IR; IR_T)
42,14,tfffffffffffff,GlacioBasis+DMI 2018 winter message,,GlacioBasis+DMI 2018; there is 2 more than promice 2015 (T_IR; IR_T)
43,39,tffffffffffffffffffffffffffgnefffffffff,GlacioBasis+DMI 2018 winter message (+ instant.),,GlacioBasis+DMI 2018; there is 2 more than promice 2015 (T_IR; IR_T)
44,6,tfffff,GlacioBasis+DMI 2018 diagnostic message,,GlacioBasis+DMI 2018; there is 2 more than promice 2015 (T_IR; IR_T)
48,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
49,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
50,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
51,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
52,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
53,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
54,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
55,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
56,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
57,0,,,,placeholders for illegal format numbers (reserved for ascii decimal numbers; codes 48 for '0' to 57 for '9')
60,1,t,new summer message,,UNUSED FORMAT (will match BinaryTxFormatRevision = 12 in the logger program)
61,1,t,new summer message (+ instant.),,UNUSED FORMAT (will match BinaryTxFormatRevision = 12 in the logger program)
62,1,t,new winter message,,UNUSED FORMAT (will match BinaryTxFormatRevision = 12 in the logger program)
63,1,t,new winter message (+ instant.),,UNUSED FORMAT (will match BinaryTxFormatRevision = 12 in the logger program)
64,1,t,new diagnostic message,,UNUSED FORMAT (will match BinaryTxFormatRevision = 12 in the logger program)
75,38,tfffffffffffFFfffgneffffffffffffffffff,THE VERSION-3!,don’t use,THE VERSION-3; note the debug FF letters for the sonic rangers
70,37,tffffffffffffffffffffffffgnefffffffff,THE VERSION-3!,don’t use,THE VERSION-3; note the debug FF letters for the sonic rangers
