GEUS_name,old_name
wspd_u,wspd
rh_u_cor,rh_u_corr
dsr_cor,dsr_corr
usr_cor,usr_corr
cc,cloud_cover
z_boom_u,z_boom
z_ice_surf,ice_ablation
