field,lo,hi,OOL,station_type,write_in_l0,write_in_l2,write_in_l3,max_decimals,coverage_content_type,coordinates,instantaneous_hourly,comment
z_pt_cor,0,30,,one-boom,0,1,1,4,modelResult,time lat lon alt,FALSE,Derived value (L2 or later)
precip_u,0,,precip_u_cor precip_u_rate,all,1,1,1,4,physicalMeasurement,time lat lon alt,TRUE,Without wind/undercatch correction
precip_u_cor,0,,,all,0,1,1,4,modelResult,time lat lon alt,TRUE,With wind/undercatch correction
precip_u_rate,0,,,all,0,1,1,4,modelResult,time lat lon alt,TRUE,L0 only
precip_l,0,,precip_l_cor precip_l_rate,two-boom,1,1,1,4,physicalMeasurement,time lat lon alt,TRUE,Without wind/undercatch correction
precip_l_cor,0,,,two-boom,0,1,1,4,modelResult,time lat lon alt,TRUE,With wind/undercatch correction
precip_l_rate,0,,,two-boom,0,1,1,4,modelResult,time lat lon alt,TRUE,L0 only
t_i_1,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,t1 is installed @ 1 m depth
t_i_2,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_3,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_4,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_5,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_6,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_7,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_8,-80,1,,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,t8 is installed @ 10 m depth
t_i_9,-80,1,,two-boom,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_10,-80,1,,two-boom,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
t_i_11,-80,1,,two-boom,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
tilt_x,-30,30,dsr_cor usr_cor albedo,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
tilt_y,-30,30,dsr_cor usr_cor albedo,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
rot,0,360,,all,1,1,1,2,physicalMeasurement,time lat lon alt,FALSE,v4 addition
gps_lat,50,83,,all,1,1,1,6,coordinate,time lat lon alt,TRUE,
gps_lon,5,70,,all,1,1,1,6,coordinate,time lat lon alt,TRUE,
gps_alt,0,3000,,all,1,1,1,2,coordinate,time lat lon alt,TRUE,
gps_time,0,240000,,all,1,1,0,,physicalMeasurement,time lat lon alt,TRUE,
gps_geoid,,,,one-boom,1,1,0,,physicalMeasurement,time lat lon alt,TRUE,
gps_geounit,,,,all,1,1,0,,qualityInformation,time lat lon alt,TRUE,L0 only
gps_hdop,,,,all,1,1,0,2,qualityInformation,time lat lon alt,TRUE,NMEA: Horizontal dilution of precision
gps_numsat,,,,,1,1,0,0,qualityInformation,time lat lon alt,TRUE,L0 only
gps_q,,,,,1,1,0,,qualityInformation,time lat lon alt,TRUE,L0 only
lat,,,,all,1,1,1,6,modelResult,time lat lon alt,TRUE,
lon,,,,all,1,1,1,6,modelResult,time lat lon alt,TRUE,
alt,,,,all,1,1,1,6,modelResult,time lat lon alt,TRUE,
batt_v,0,30,,all,1,1,1,2,physicalMeasurement,time lat lon alt,TRUE,
batt_v_ini,0,30,,,1,1,0,2,physicalMeasurement,time lat lon alt,TRUE,L0 only
batt_v_ss,0,30,,,1,1,0,2,physicalMeasurement,time lat lon alt,TRUE,L0 only
fan_dc_u,0,200,,all,1,1,0,2,physicalMeasurement,time lat lon alt,TRUE,
fan_dc_l,0,200,,two-boom,1,1,0,2,physicalMeasurement,time lat lon alt,TRUE,
freq_vw,0,10000,precip_u,,1,1,0,,physicalMeasurement,time lat lon alt,TRUE,L0 only
t_log,-80,40,,one-boom,1,1,0,4,physicalMeasurement,time lat lon alt,TRUE,LoggerTemperature(C)
t_rad,-80,40,t_surf dlr ulr,all,1,1,1,4,physicalMeasurement,time lat lon alt,FALSE,
p_i,-350,100,,all,1,1,1,4,physicalMeasurement,time lat lon alt,TRUE,For meteorological observations
t_i,-80,40,,all,1,1,1,4,physicalMeasurement,time lat lon alt,TRUE,"PT100 temperature at boom, for meteorological observations"
rh_i,0,150,rh_i_cor,all,1,1,1,4,physicalMeasurement,time lat lon alt,TRUE,For meteorological observations
rh_i_cor,0,100,,all,0,1,1,4,modelResult,time lat lon alt,TRUE,For meteorological observations
wspd_i,0,100,wdir_i wspd_x_i wspd_y_i,all,1,1,1,4,physicalMeasurement,time lat lon alt,TRUE,For meteorological observations
wdir_i,1,360,wspd_x_i wspd_y_i,all,1,1,1,4,physicalMeasurement,time lat lon alt,TRUE,For meteorological observations
wspd_x_i,-100,100,wdir_i wspd_i,all,0,1,1,4,modelResult,time lat lon alt,TRUE,For meteorological observations
wspd_y_i,-100,100,wdir_i wspd_i,all,0,1,1,4,modelResult,time lat lon alt,TRUE,For meteorological observations
