field,standard_name,long_name,units,coverage_content_type,coordinates,instantaneous_hourly,where_to_find,comment
time,time,Time,yyyy-mm-dd HH:MM:SS,physicalMeasurement,time lat lon alt,,,
rec,record,Record,-,referenceInformation,time lat lon alt,,L0 or L2,
p_u,air_pressure,Air pressure (upper boom),hPa,physicalMeasurement,time lat lon alt,FALSE,,
p_l,air_pressure,Air pressure (lower boom),hPa,physicalMeasurement,time lat lon alt,FALSE,,
t_u,air_temperature,Air temperature (upper boom),degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_l,air_temperature,Air temperature (lower boom),degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
rh_u,relative_humidity,Relative humidity (upper boom),%,physicalMeasurement,time lat lon alt,FALSE,,
rh_u_cor,relative_humidity_corrected,Relative humidity (upper boom) - corrected,%,modelResult,time lat lon alt,FALSE,L2 or later,
qh_u,specific_humidity,Specific humidity (upper boom),kg/kg,modelResult,time lat lon alt,FALSE,L2 or later,
rh_l,relative_humidity,Relative humidity (lower boom),%,physicalMeasurement,time lat lon alt,FALSE,,
rh_l_cor,relative_humidity_corrected,Relative humidity (lower boom) - corrected,%,modelResult,time lat lon alt,FALSE,L2 or later,
qh_l,specific_humidity,Specific humidity (lower boom),kg/kg,modelResult,time lat lon alt,FALSE,L2 or later,
wspd_u,wind_speed,Wind speed (upper boom),m s-1,physicalMeasurement,time lat lon alt,FALSE,,
wspd_l,wind_speed,Wind speed (lower boom),m s-1,physicalMeasurement,time lat lon alt,FALSE,,
wdir_u,wind_from_direction,Wind from direction (upper boom),degrees,physicalMeasurement,time lat lon alt,FALSE,,
wdir_std_u,wind_from_direction_standard_deviation,Wind from direction (standard deviation),degrees,qualityInformation,time lat lon alt,FALSE,L0 or L2,
wdir_l,wind_from_direction,Wind from direction (lower boom),degrees,physicalMeasurement,time lat lon alt,FALSE,,
wspd_x_u,wind_speed_from_x_direction,Wind speed from x direction (upper boom),m s-1,modelResult,time lat lon alt,FALSE,L0 or L2,
wspd_y_u,wind_speed_from_y_direction,Wind speed from y direction (upper boom),m s-1,modelResult,time lat lon alt,FALSE,L0 or L2,
