#,,,value,flag,comment
#,,,1,CHECKME,Unverified suspicious. If cannot be classified further set to UNKNOWN
#,,,2,UNKNOWN,Verified suspicious but cannot be classified
#,,,4,NAN,Known to be completely invalid. Set to NaN in early processing
#,,,8,OOL,Out of limits
#,,,16,OOL_2,Flagged because another variable is OOL
#,,,32,VISIT,Station visit
#,,,,,
#,,,,,
#,,,,,
#,,,,,
,,,,,
t0,t1,station,variable,flag,comment
2017-05-23 10:00:00,2017-06-10 11:00:00,CEN,*,NAN,suspicious early data including pressure logger which isn’t at the station?
n/a,n/a,CEN,z_pt,NAN,not processed per V3 metadata.csv files
