"TOA5","15213","CR1000","15213","CR1000.Std.16","CPU:Promice2015e.CR1","65241","TableMem"
"TIMESTAMP","RECORD","MinutesInYear","AirPressure_Avg","Temperature_Avg","Temperature2_Avg","RelativeHumidity_Avg","WindSpeed","WindDirection","WindDirection_SD","ShortwaveRadiationIn_Avg","ShortwaveRadiationOut_Avg","LongwaveRadiationIn_Avg","LongwaveRadiationOut_Avg","TemperatureRadSensor_Avg","SnowHeight","SnowHeightQuality","SurfaceHeight","SurfaceHeightQuality","IceHeight_Avg","TemperatureIce1m_Avg","TemperatureIce2m_Avg","TemperatureIce3m_Avg","TemperatureIce4m_Avg","TemperatureIce5m_Avg","TemperatureIce6m_Avg","TemperatureIce7m_Avg","TemperatureIce10m_Avg","TiltX_Avg","TiltY_Avg","TimeGPS","Latitude","Longitude","Altitude","Giodal","GeoUnit","Quality","NumberSatellites","HDOP","TemperatureLogger_Avg","FanCurrent_Avg","VoltageBatteriesIni","VoltageBatteries"
"TS","RN","","hPa","C","C","%","m/s","Deg","Deg","Vx10^-5","Vx10^-5","Vx10^-5","Vx10^-5","C","m","","m","","mV","C","C","C","C","C","C","C","C","Vx10^-2","Vx10^-2","","","","","","","","","","C","mA","V","V"
"","","Smp","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Smp","Smp"
"2019-06-02 22:00:00",161798,221630,729.4299,-18.00995,-18.55198,78.13602,1.761,244.5,0.014,332.6207,255.0975,-114.5097,-31.66441,-11.4519,2.674,265,0.696,170,-999,-23.76285,-28.39334,-30.84619,-31.5629,-31.47737,-31.2016,-30.74272,-30.05186,0.639,0.058,"GT205907.00","NH7537.51846","WH03558.41334","2664.4","41.6","M","1","13","0.70",-11.44107,124.3,14.43761,14.3264
"2019-06-02 22:10:00",161799,221640,729.2334,-18.15814,-18.8538,78.48266,1.902,240.5,0,319.0376,250.7907,-112.2195,-31.26611,-11.97725,2.674,202,0.696,178,-999,-23.76285,-28.39334,-30.86693,-31.5629,-31.49872,-31.2016,-30.74272,-30.05186,0.475,0.143,"GT205907.00","NH7537.51846","WH03558.41334","2664.4","41.6","M","1","13","0.70",-11.34844,125.5,14.41576,14.35459
"2019-06-02 22:20:00",161800,221650,729.2943,-18.49347,-19.12209,78.27324,1.811,242.5,0,305.1232,240.8518,-111.0246,-31.46526,-12.33446,2.677,198,0.697,174,-999,-23.76285,-28.39334,-30.86693,-31.5629,-31.49872,-31.2016,-30.74272,-30.05186,0.499,0.126,"GT205907.00","NH7537.51846","WH03558.41334","2664.4","41.6","M","1","13","0.70",-11.67603,125.5,14.41571,14.34871
"2019-06-02 22:30:00",161801,221660,729.3737,-18.66113,-19.34342,78.55316,1.729,240.2,0,291.8714,231.2443,-109.8297,-31.56483,-12.58862,2.678,197,0.697,179,-999,-23.76285,-28.39334,-30.86693,-31.5629,-31.49872,-31.2016,-30.74272,-30.05186,0.485,0.106,"GT205907.00","NH7537.51846","WH03558.41334","2664.4","41.6","M","1","13","0.70",-11.98103,126.3,14.41048,14.34341
"2019-06-02 22:40:00",161802,221670,729.4515,-18.89317,-19.66537,79.10547,1.976,240.9,0.014,279.9447,222.6306,-107.2408,-29.67294,-13.26204,2.679,197,0.698,170,-999,-23.76285,-28.39334,-30.86693,-31.58437,-31.49872,-31.2016,-30.74272,-30.05186,0.451,0.126,"GT205907.00","NH7537.51846","WH03558.41334","2664.4","41.6","M","1","13","0.70",-12.31314,124.7,14.40566,14.32779
"2019-06-02 22:50:00",161803,221680,729.3151,-19.21066,-20.06779,79.31048,2.217,242,0,269.3433,215.3421,-104.851,-27.1836,-14.12448,2.681,198,0.698,174,-999,-23.76285,-28.39334,-30.86693,-31.58437,-31.49872,-31.2016,-30.74272,-30.05186,0.447,0.154,"GT205907.00","NH7537.51846","WH03558.41334","2664.4","41.6","M","1","13","0.70",-12.71981,122.7,14.40054,14.32865
"2019-06-02 23:00:00",161804,221690,729.3212,-19.67329,-20.47022,79.31423,2.35,247.7,0,258.7418,207.391,-102.063,-25.39127,-14.79781,2.681,199,0.698,174,-999,-23.76285,-28.39334,-30.86693,-31.58437,-31.49872,-31.2016,-30.74272,-30.05186,0.591,0.133,"GT225906.00","NH7537.51900","WH03558.40826","2662.1","41.6","M","1","12","0.67",-13.19877,122.7,14.39044,14.29626
"2019-06-02 23:10:00",161805,221700,729.3923,-19.69911,-20.69156,80.2041,2.266,247.8,0,248.1403,200.1025,-100.6689,-25.19212,-15.11531,2.683,200,0.698,174,-999,-23.76285,-28.39334,-30.86693,-31.58437,-31.49872,-31.2016,-30.7634,-30.05186,0.516,0.137,"GT225906.00","NH7537.51900","WH03558.40826","2662.1","41.6","M","1","12","0.67",-13.61221,124.1,14.36898,14.29115
