t0,t1,variable,flag,comment,URL_graphic
1997-05-08 17:00:00,1997-04-20 06:00:00,AirPressurehPa,UNKNOWN,Manually flagged by bav,
2000-09-28 08:00:00,2008-07-03 05:00:00,AirPressurehPa,UNKNOWN,Manually flagged by bav,
2009-05-10 23:00:00,2009-05-20 23:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2007-04-28 23:00:00,2007-07-14 01:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2010-05-12 19:00:00,2010-09-16 13:00:00,AirTemperature1C,UNKNOWN,Manually flagged by bav,
2010-05-12 19:00:00,2010-09-16 13:00:00,AirTemperature2C,UNKNOWN,Manually flagged by bav,
2014-05-24 10:00:00,2019-01-01 00:00:00,RelativeHumidity1Perc,UNKNOWN,Manually flagged by bav,
2014-05-24 10:00:00,2019-01-01 00:00:00,RelativeHumidity2Perc,UNKNOWN,Manually flagged by bav,
1996-01-01 10:00:00,1999-06-01 00:00:00,RelativeHumidity2Perc,UNKNOWN,Manually flagged by bav,
2017-05-23 00:00:00,2017-05-26 00:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2017-05-23 00:00:00,2017-05-26 00:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
1999-05-25 00:00:00,1999-05-28 00:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
1999-05-25 00:00:00,1999-05-28 00:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2005-05-15 00:00:00,2019-01-01 00:00:00,IceTemperature1,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature2,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature3,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature4,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature5,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature6,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature7,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature8,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature9,UNKNOWN,Manually flagged by bav,
2008-06-05 00:00:00,2019-01-01 00:00:00,IceTemperature10,UNKNOWN,Manually flagged by bav,
1997-04-15 00:00:00,1997-06-05 00:00:00,IceTemperature7,UNKNOWN,Manually flagged by bav,
1997-04-15 00:00:00,1997-06-05 00:00:00,IceTemperature8,UNKNOWN,Manually flagged by bav,
1997-04-15 00:00:00,1997-06-05 00:00:00,IceTemperature9,UNKNOWN,Manually flagged by bav,
1997-04-15 00:00:00,1997-06-05 00:00:00,IceTemperature10,UNKNOWN,Manually flagged by bav,
2007-06-28 00:00:00,2007-07-05 00:00:00,IceTemperature4,UNKNOWN,Manually flagged by bav,
