t0,t1,variable,flag,comment,URL_graphic
1995-06-04 02:00:00,2014-03-23 21:00:00,oShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
1996-05-31 00:00:00,1997-05-27 10:00:02,AirPressurehPa,UNKNOWN,Manually flagged by bav,
2005-05-26 00:00:00,2006-04-28 06:00:00,oAirPressurehPa,UNKNOWN,Manually flagged by bav,
2006-04-27 15:00:00,2007-04-28 02:00:00,oRelativeHumidity1Perc,UNKNOWN,Manually flagged by bav,
2006-04-27 15:00:00,2007-04-28 02:00:00,oRelativeHumidity2Perc,UNKNOWN,Manually flagged by bav,
1998-05-10 13:00:00,1998-05-14 00:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2007-02-22 15:00:00,2007-03-08 00:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2007-11-25 10:00:02,2007-11-26 19:59:57,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2008-02-24 13:00:00,2008-03-31 00:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2016-01-22 00:00:00,2016-02-21 00:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2016-01-22 00:00:00,2016-02-21 00:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2011-06-01 19:00:00,2011-06-05 15:00:00,AirPressurehPa,UNKNOWN,Manually flagged by bav,
2012-01-08 15:00:00,2012-01-15 18:00:00,AirPressurehPa,UNKNOWN,Manually flagged by bav,
2012-01-30 16:00:00,2012-03-27 15:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2013-02-13 16:00:00,2013-03-19 18:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2003-01-01 19:00:00,2005-06-05 15:00:00,AirPressurehPa,UNKNOWN,Manually flagged by bav,
2011-05-01 00:00:00,2019-01-01 00:00:00,IceTemperature1,UNKNOWN,Manually flagged by bav,
2011-05-01 00:00:00,2019-01-01 00:00:00,IceTemperature2,UNKNOWN,Manually flagged by bav,
2011-05-01 00:00:00,2019-01-01 00:00:00,IceTemperature3,UNKNOWN,Manually flagged by bav,
2013-05-01 00:00:00,2019-01-01 00:00:00,IceTemperature4,UNKNOWN,Manually flagged by bav,
2013-07-01 00:00:00,2019-01-01 00:00:00,IceTemperature5,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2007-10-30 00:00:00,IceTemperature5,UNKNOWN,Manually flagged by bav,
2013-05-25 00:00:00,2019-01-01 00:00:00,IceTemperature6,UNKNOWN,Manually flagged by bav,
2013-05-25 00:00:00,2019-01-01 00:00:00,IceTemperature7,UNKNOWN,Manually flagged by bav,
2013-05-15 00:00:00,2019-01-01 00:00:00,IceTemperature8,UNKNOWN,Manually flagged by bav,
2013-05-15 00:00:00,2019-01-01 00:00:00,IceTemperature9,UNKNOWN,Manually flagged by bav,
2013-05-25 00:00:00,2019-01-01 00:00:00,IceTemperature10,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2007-11-30 00:00:00,IceTemperature10,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature1,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature2,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature3,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature4,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature5,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature6,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature7,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature8,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature9,UNKNOWN,Manually flagged by bav,
2006-04-15 00:00:00,2007-05-01 00:00:00,IceTemperature10,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature1,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature2,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature3,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature4,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature5,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature6,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature7,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature8,UNKNOWN,Manually flagged by bav,
2007-10-01 00:00:00,2008-03-01 00:00:00,IceTemperature9,UNKNOWN,Manually flagged by bav,
2007-01-01 00:00:00,2008-04-15 00:00:00,IceTemperature10,UNKNOWN,Manually flagged by bav,
