t0,t1,variable,flag,comment,URL_graphic
2014-01-01 11:00:00,2019-01-01 16:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2014-01-01 11:00:00,2019-01-01 16:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
1998-05-01 00:00:00,1998-07-01 00:00:00,AirTemperature1C,UNKNOWN,Manually flagged by bav,
1998-05-01 00:00:00,1998-07-01 00:00:00,AirTemperature2C,UNKNOWN,Manually flagged by bav,
1998-05-01 00:00:00,1998-07-01 00:00:00,RelativeHumidity1Perc,UNKNOWN,Manually flagged by bav,
1998-05-01 00:00:00,1998-07-01 00:00:00,RelativeHumidity2Perc,UNKNOWN,Manually flagged by bav,
1998-05-01 00:00:00,1998-07-01 00:00:00,WindSpeed1ms,UNKNOWN,Manually flagged by bav,
1998-05-01 00:00:00,1998-07-01 00:00:00,WindSpeed2ms,UNKNOWN,Manually flagged by bav,
1998-05-01 00:00:00,1998-07-01 00:00:00,AirPressurehPa,UNKNOWN,Manually flagged by bav,
2001-02-01 00:00:00,2001-04-24 00:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2001-02-01 00:00:00,2001-04-24 00:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2019-02-01 00:00:00,2019-04-05 00:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2019-02-01 00:00:00,2019-04-05 00:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
