t0,t1,variable,flag,comment,URL_graphic
1997-02-21 14:00:00,1997-03-18 14:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
1997-02-21 14:00:00,1997-03-18 14:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
1998-02-20 04:00:00,1998-03-21 14:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
1998-02-20 04:00:00,1998-03-21 14:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
1998-05-18 19:59:57,1998-05-20 01:00:02,RelativeHumidity1Perc,UNKNOWN,Manually flagged by bav,
1998-10-16 13:00:00,2001-06-10 07:00:00,RelativeHumidity2Perc,UNKNOWN,Manually flagged by bav,
1998-11-06 14:00:00,1999-04-04 03:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
1998-11-06 14:00:00,1999-04-04 03:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
1999-10-26 12:00:00,2000-03-22 11:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
1999-10-26 12:00:00,2000-03-22 11:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2000-11-27 18:00:00,2001-04-06 14:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2000-11-27 18:00:00,2001-04-06 14:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2009-02-18 12:00:00,2009-04-03 08:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2009-02-18 12:00:00,2009-04-03 08:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2010-12-14 08:00:00,2010-12-18 02:00:00,WindSpeed1ms,UNKNOWN,Manually flagged by bav,
2010-12-14 08:00:00,2010-12-18 02:00:00,WindSpeed2ms,UNKNOWN,Manually flagged by bav,
2013-12-19 01:00:00,2014-01-09 12:00:00,WindSpeed1ms,UNKNOWN,Manually flagged by bav,
2013-12-19 01:00:00,2014-01-09 12:00:00,WindSpeed2ms,UNKNOWN,Manually flagged by bav,
2014-03-16 14:00:00,2014-04-26 11:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2014-03-16 14:00:00,2014-04-26 11:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2012-04-10 14:00:00,2012-04-15 15:00:00,RelativeHumidity1Perc,UNKNOWN,Manually flagged by bav,
2012-04-10 14:00:00,2012-04-15 15:00:00,RelativeHumidity2Perc,UNKNOWN,Manually flagged by bav,
2014-06-30 15:00:00,2014-07-02 16:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2014-06-30 15:00:00,2014-07-02 16:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
