t0,t1,variable,flag,comment,URL_graphic
2013-10-28 21:00:00,2014-08-10 12:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2011-10-26 05:00:00,2012-01-08 00:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2009-04-04 00:00:00,2009-09-01 00:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2015-05-03 11:00:00,2018-01-17 23:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2014-12-06 20:00:00,2014-12-23 13:00:00,SnowHeight1m,UNKNOWN,Manually flagged by bav,
2014-12-06 20:00:00,2014-12-23 13:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
