t0,t1,variable,flag,comment,URL_graphic
2015-01-25 11:00:00,2015-06-21 16:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2015-01-25 11:00:00,2015-06-21 16:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2017-01-15 16:00:00,2017-06-21 16:00:00,ShortwaveRadiationUpWm2,UNKNOWN,Manually flagged by bav,
2017-01-15 16:00:00,2017-06-11 21:00:00,ShortwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2014-07-28 00:00:00,2014-09-04 23:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2015-07-11 02:00:00,2015-07-25 14:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2017-08-24 11:00:00,2017-09-19 16:00:00,SnowHeight2m,UNKNOWN,Manually flagged by bav,
2015-04-01 00:00:00,2015-06-20 00:00:00,LongwaveRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2015-03-25 00:00:00,2015-06-20 00:00:00,UpwardRadiationDownWm2,UNKNOWN,Manually flagged by bav,
2017-03-15 16:00:00,2017-05-11 21:00:00,WindSpeed2ms,UNKNOWN,Manually flagged by bav,
2017-04-15 16:00:00,2017-05-11 21:00:00,UpwardRadiationDownWm2,UNKNOWN,Manually flagged by bav,
